출원번호¶특허분류일련번호¶ipc코드¶ipc개정일자
1020170120231¶1¶A61N 1/36¶(2006.01.01)
1020170120231¶2¶A61N 1/36¶(2006.01.01)
1020170120231¶3¶A61B 5/383¶(2021.01.01)
1020170120231¶4¶A61B 5/00¶(2021.01.01)
1020170120231¶5¶A61N 1/04¶(2006.01.01)
1020170120231¶6¶A61N 1/04¶(2006.01.01)
1020167023345¶1¶G06F 30/00¶(2020.01.01)
1020167023345¶2¶G06T 7/00¶(2017.01.01)
1020150011145¶1¶A61H 1/02¶(2006.01.01)
1020120022594¶1¶H01L 21/677¶(2006.01.01)
1020120022594¶2¶B65G 49/07¶(2014.01.01)
1020120022594¶3¶B25J 9/04¶(2006.01.01)
1020120022594¶4¶B25J 15/06¶(2006.01.01)
1020207028059¶1¶H01L 29/786¶(2006.01.01)
1020207028059¶2¶H01L 21/02¶(2006.01.01)
1020150114402¶1¶A44C 5/00¶(2006.01.01)
1020150114402¶2¶A44C 27/00¶(2015.01.01)
1020150114402¶3¶A41D 13/08¶(2006.01.01)
1020150114402¶4¶A63B 71/14¶(2006.01.01)
1020187000619¶1¶G06F 1/20¶(2006.01.01)
1020187000619¶2¶G06F 1/16¶(2006.01.01)
1020210111296¶1¶B32B 5/24¶(2006.01.01)
1020210111296¶2¶B32B 5/18¶(2006.01.01)
1020210111296¶3¶B32B 5/02¶(2020.01.01)
1020210111296¶4¶B32B 7/12¶(2019.01.01)
1020210111296¶5¶B32B 37/08¶(2006.01.01)
1020210111296¶6¶B32B 37/12¶(2006.01.01)
1020210111296¶7¶C09J 175/04¶(2006.01.01)
1020210111296¶8¶C09J 133/00¶(2006.01.01)
1020210111296¶9¶B42D 25/26¶(2014.01.01)
1020210111296¶10¶B42D 25/40¶(2014.01.01)
1020210111296¶11¶A44C 5/00¶(2006.01.01)
1020180117511¶1¶A61H 39/06¶(2006.01.01)
1020180117511¶2¶A61F 7/00¶(2006.01.01)
1020180117511¶3¶A61B 5/332¶(2021.01.01)
1020180117511¶4¶A61B 5/00¶(2021.01.01)
1020150081723¶1¶A44C 5/00¶(2006.01.01)
1020150081723¶2¶G06K 19/077¶(2006.01.01)
1020150081723¶3¶G06K 19/06¶(2006.01.01)
1020150081723¶4¶G07B 15/02¶(2011.01.01)
1020160014413¶1¶A44C 5/20¶(2006.01.01)
1020160014413¶2¶A44B 11/02¶(2006.01.01)
1020160014413¶3¶G04B 37/14¶(2006.01.01)
1020170063067¶1¶A61B 5/0531¶(2021.01.01)
1020170063067¶2¶A61B 5/01¶(2021.01.01)
1020170063067¶3¶A61B 5/25¶(2021.01.01)
1020170063067¶4¶A61B 5/00¶(2021.01.01)
1020170063067¶5¶G04G 21/02¶(2010.01.01)
1020207016660¶1¶A61B 34/00¶(2016.01.01)
1020207016660¶2¶A61B 34/35¶(2016.01.01)
1020207016660¶3¶A61B 17/29¶(2006.01.01)
1020177018396¶1¶A44C 5/20¶(2006.01.01)
1020177018396¶2¶A44C 5/00¶(2006.01.01)
1020167004736¶1¶G06F 21/35¶(2013.01.01)
1020167004736¶2¶H04L 9/40¶(2022.01.01)
1020167004736¶3¶H04L 41/00¶(2022.01.01)
1020167004736¶4¶G06F 9/445¶(2018.01.01)
1020160049398¶1¶H04L 9/08¶(2006.01.01)
1020150075771¶1¶G06K 19/07¶(2006.01.01)
1020150075771¶2¶G06K 19/077¶(2006.01.01)
1020150075771¶3¶H04B 5/00¶(2006.01.01)
1020190156899¶1¶G01N 29/04¶(2006.01.01)
1020190156899¶2¶G01N 29/44¶(2006.01.01)
1020190156899¶3¶G06F 17/14¶(2006.01.01)
1020180129642¶1¶A61B 5/00¶(2021.01.01)
1020180129642¶2¶G16H 50/20¶(2018.01.01)
1020180129642¶3¶A61B 5/16¶(2006.01.01)
1020167001438¶1¶G02B 27/01¶(2006.01.01)
1020167001438¶2¶G06F 3/01¶(2006.01.01)
1020167027041¶1¶H04N 19/124¶(2014.01.01)
1020167027041¶2¶H04N 19/14¶(2014.01.01)
1020167027041¶3¶H04N 19/159¶(2014.01.01)
1020167027041¶4¶H04N 19/172¶(2014.01.01)
1020167027041¶5¶H04N 19/176¶(2014.01.01)
1020167027041¶6¶H04N 19/196¶(2014.01.01)
