출원번호,일련번호,특허유형
1020150048908,1020130123531,A
1020150048908,2003145630000,Y1
1020150048908,1020140076126,A
1020100140504,2019890007254,U
1020110025802,1008685210000,B1
1020110025802,1020090020114,A
1020120136400,2003791060000,Y1
1020120136400,2003738470000,Y1
1020120136400,1020100043565,A
1020120136400,1020050051598,A
1020100028241,2002268110000,B1
1020100028241,1020080101572,A
1020100028241,1009119180000,B1
1020100028241,2020110006783,U
1020080119252,1020010070659,A
1020080119252,1020070078367,A
1020080119252,1007300280000,B1
1020150127186,1020030017178,A
1020150127186,2004429610000,Y1
1020080010022,2002338100000,Y1
1020080010022,1019990085810,A
1020080010022,1019940007500,A
1020080010022,1020040076545,A
1020080010022,1019980019447,A
1020080010022,2002207820000,Y1
1020080010022,2003566630000,Y1
1020080078958,2003207940000,Y1
1020080078958,1008152610000,B1
1020080078958,1020010001238,A
1020180073792,1020050043822,A
1020180073792,1020100104657,A
1020180073792,2001736650000,Y1
1020180073792,2003043530000,Y1
1020140138136,1006000570000,B1
1020140138136,1007077800000,B1
1020140138136,1020020019786,A
1020140138136,1020130088557,A
1020150037704,1020140020945,A
1020150037704,1020130033859,A
1020150037704,1007140900000,B1
1020090091634,1020050068288,A
1020090091634,1020030097212,A
1020150104096,1020030071249,A
1020150104096,1020100054383,A
1020150104096,1020130052912,A
1020150104096,1020120045249,A
1020150121960,1006457340000,B1
1020150121960,1020030071249,A
1020170044674,1003813830000,B1
1020170044674,1020130120644,A
1020170044674,1009968960000,B1
1020180025088,2003498100000,Y1
1020180025088,2020090012109,U
1020180025088,2004740680000,Y1
1020180025088,1014978300000,B1
1020140013281,2004378580000,Y1
1020140013281,1013367250000,B1
1020060025858,1020050100502,A
1020060025858,2001423940000,Y1
1020160089600,1019990070599,A
1020160089600,1020060075990,A
1020127023084,1020060013642,A
1020127023084,1020060012277,A
1020127023084,1020050088280,A
1020127023084,1020080080044,A
1020140182114,1011870430000,B1
1020140182114,1020040106653,A
1020140182114,1014716300000,B1
1020110117073,1009914570000,B1
1020110117073,1009845250000,B1
1020110062658,1006793160000,B1
1020110062658,2004506930000,Y1
1020110062658,2020100010964,U
1020110062658,2020100008811,U
1020120037732,1020120022424,A
1020120037732,2001070340000,Y1
1020110028229,1005742750000,B1
1020110028229,1020040063753,A
1020160116363,1014008330000,B1
1020160103538,1016146610000,B1
1020160103538,1020080003518,A
1020100120662,2002925200000,Y1
1020100120662,2003785510000,Y1
1020100120662,2004502650000,Y1
1020100120662,1006880320000,B1
1020100083028,1020100006445,A
1020100083028,2003527990000,Y1
1020100083028,1009699230000,B1
1020080126495,2003827140000,Y1
1020080126495,2019880006603,U
1020050050671,1003062890000,B1
1020050050671,2019810000926,Y1
1020050050671,2019850001156,Y1
1020070087059,1020050069411,A
1020070087059,1020060128358,A
1020070087059,1020060131345,A
1020100087072,2001882310000,Y1
1020110117072,1020120105073,A
1020110117072,2004209550000,Y1
1020150184444,1005197860000,B1
1020150184444,1020140055169,A
1020150184444,2002728930000,Y1
1020150184444,1014584220000,B1
1020150184444,1007261900000,B1
1020150184444,2020080005292,U
1020150184444,2004721100000,Y1
1020150184444,1020140119459,A
1020150184444,1020120096657,A
1020110084133,1008138070000,B1
1020110084133,1020050043440,A
1020160158437,1020140130616,A
1020160158437,1020160131376,A
1020120003452,1020110116931,A
1020120003452,2002928210000,Y1
1020190103552,2019830001456,Y1
1020080081766,1020040094975,A
1020080081766,1005137650000,B1
1020080081766,1020030032316,A
1020080081766,1020090054054,A
1020160063475,1015355090000,B1
1020160063475,1020060050410,A
1020160063475,1020130051746,A
1020160063475,1020160024521,A
1020100126036,1006902780000,B1
1020120126973,1020100030377,A
1020120126973,1020120060322,A
1020120126973,1020120110314,A
1020120126973,2003746580000,Y1
1020100041228,1009682890000,B1
1020100041228,1019990066144,A
1020100041228,1009905440000,B1
1020140106838,1020080050651,A
1020140106838,1020140057738,A
1020140106838,2002743240000,Y1
1020180091725,1020050038765,A
1020180091725,1020170075637,A
1020210167921,1009500930000,B1
1020210167921,1016966950000,B1
1020210167921,1020000041755,A
1020210167921,1020100025682,A
1020210167921,1020120086780,A
1020140094528,1013462310000,B1
1020140094528,1020020025912,A
1020140094528,2020000001189,U
1020190134193,1020120108359,A
1020190134193,1020140072402,A
1020190134193,2004222990000,Y1
1020190134193,2004489810000,Y1
1020130039123,1020100025204,A
