출원번호¶특허분류일련번호¶cpc코드¶cpc개정일자
1020187016970¶1¶B25J 9/0096¶(2013.01)
1020187016970¶2¶B25J 9/0093¶(2013.01)
1020187016970¶3¶B25J 9/0087¶(2013.01)
1020187016970¶4¶B25J 19/02¶(2013.01)
1020160014730¶1¶A44C 5/2004¶(2013.01)
1020160014730¶2¶A44C 5/2023¶(2013.01)
1020160014730¶3¶G04B 37/1486¶(2013.01)
1020207016623¶1¶A61B 34/71¶(2013.01)
1020207016623¶2¶A61B 34/35¶(2013.01)
1020207016623¶3¶A61B 17/29¶(2013.01)
1020207016623¶4¶A61B 2034/715¶(2013.01)
1020207016623¶5¶A61B 2017/2939¶(2013.01)
1020207016623¶6¶A61B 2017/2919¶(2013.01)
1020207016623¶7¶A61B 2017/2946¶(2013.01)
1020220169561¶1¶G16H 20/10¶(2013.01)
1020220169561¶2¶G16H 40/63¶(2013.01)
1020220169561¶3¶G16H 50/30¶(2013.01)
1020220169561¶4¶G06F 1/163¶(2013.01)
1020220169561¶5¶H04N 7/18¶(2013.01)
1020220169561¶6¶H04N 23/57¶(2013.01)
1020160119204¶1¶B82B 3/0038¶(2013.01)
1020160119204¶2¶B82Y 15/00¶(2013.01)
1020080110005¶1¶A61B 5/021¶(2013.01)
1020150146390¶1¶G01S 19/34¶(2013.01)
1020150146390¶2¶G01S 19/39¶(2019.08)
1020150146390¶3¶G01C 21/20¶(2019.02)
1020140040358¶1¶H04W 4/023¶(2018.02)
1020140040358¶2¶H04W 4/14¶(2018.02)
1020140040358¶3¶H04W 4/80¶(2018.02)
1020140040358¶4¶H04M 15/8033¶(2013.01)
1020140040358¶5¶H04W 4/24¶(2013.01)
1020140040358¶6¶H04M 15/8072¶(2013.01)
1020140040358¶7¶H04W 76/25¶(2018.02)
1020140040358¶8¶H04W 64/003¶(2013.01)
1020187008897¶1¶A61M 1/3655¶(2022.05)
1020187008897¶2¶A61M 1/367¶(2022.05)
1020187008897¶3¶A61M 60/857¶(2023.05)
1020187008897¶4¶A61M 60/216¶(2023.05)
1020187008897¶5¶A61M 60/31¶(2021.01)
1020187008897¶6¶A61M 60/818¶(2023.05)
1020187008897¶7¶A61M 60/37¶(2021.01)
1020187008897¶8¶A61M 60/538¶(2021.01)
1020187008897¶9¶A61M 60/152¶(2021.01)
1020187008897¶10¶A61M 60/422¶(2021.01)
1020187008897¶11¶A61M 60/148¶(2021.01)
1020187008897¶12¶A61M 1/14¶(2022.05)
1020187008897¶13¶A61M 25/0194¶(2013.01)
1020187008897¶14¶A61M 2206/10¶(2013.01)
1020187008897¶15¶A61M 2205/0205¶(2013.01)
1020187008897¶16¶A61M 2205/3334¶(2013.01)
1020187008897¶17¶A61B 2090/3966¶(2016.02)
1020187008897¶18¶A61B 2017/1107¶(2013.01)
1020187008897¶19¶A61M 2205/8206¶(2013.01)
1020157014957¶1¶H04N 19/157¶(2013.01)
1020157014957¶2¶H04N 19/136¶(2013.01)
1020157014957¶3¶H04N 19/176¶(2013.01)
1020157014957¶4¶H04N 19/60¶(2013.01)
1020227022151¶1¶B25J 18/04¶(2013.01)
1020227022151¶2¶H01L 21/67766¶(2013.01)
1020227022151¶3¶H01L 21/67742¶(2013.01)
1020227022151¶4¶B25J 11/0095¶(2013.01)
1020137005748¶1¶A61B 17/320016¶(2013.01)
1020137005748¶2¶A61B 17/320036¶(2013.01)
1020137005748¶3¶A61B 17/3211¶(2013.01)
1020137005748¶4¶A61B 2017/320052¶(2013.01)
1020127022798¶1¶A61M 1/3655¶(2022.05)
1020127022798¶2¶A61M 1/367¶(2022.05)
1020127022798¶3¶A61M 60/857¶(2023.05)
1020127022798¶4¶A61M 60/216¶(2023.05)
1020127022798¶5¶A61M 60/31¶(2021.01)
1020127022798¶6¶A61M 60/818¶(2023.05)
1020127022798¶7¶A61M 60/37¶(2021.01)
1020127022798¶8¶A61M 60/538¶(2021.01)
1020127022798¶9¶A61M 60/152¶(2021.01)
1020127022798¶10¶A61M 60/422¶(2021.01)
1020127022798¶11¶A61M 60/148¶(2021.01)
1020127022798¶12¶A61M 1/14¶(2022.05)
1020127022798¶13¶A61M 25/0194¶(2013.01)
1020127022798¶14¶A61M 2205/3334¶(2013.01)
1020127022798¶15¶A61M 2205/0205¶(2013.01)
1020127022798¶16¶A61M 2206/10¶(2013.01)
1020127022798¶17¶A61B 2090/3966¶(2016.02)
1020127022798¶18¶A61B 2017/1107¶(2013.01)
1020127022798¶19¶A61M 2205/8206¶(2013.01)
1020147006894¶1¶H01L 22/00¶(2013.01)
1020147006894¶2¶H01L 21/02¶(2013.01)
1020147006894¶3¶H01L 21/42¶(2013.01)
1020210110028¶1¶A61B 5/346¶(2013.01)
1020210110028¶2¶A61B 5/353¶(2013.01)
1020210110028¶3¶A61B 5/366¶(2013.01)
1020210110028¶4¶A61B 5/355¶(2013.01)
1020210110028¶5¶A61B 5/7203¶(2013.01)
1020210110028¶6¶A61B 5/725¶(2013.01)
1020150008847¶1¶A61B 5/6801¶(2013.01)
1020150008847¶2¶A61B 5/0015¶(2013.01)
1020150008847¶3¶A61B 5/486¶(2013.01)
1020150008847¶4¶A61B 5/11¶(2013.01)
1020150008847¶5¶A61B 5/165¶(2013.01)
1020150008847¶6¶A61B 5/7264¶(2013.01)
1020167035650¶1¶A61B 5/7207¶(2013.01)
1020167035650¶2¶A61B 5/0022¶(2013.01)
1020167035650¶3¶A61B 5/02¶(2013.01)
1020167035650¶4¶A61B 5/6824¶(2013.01)
1020167035650¶5¶A61B 5/721¶(2013.01)
1020167035650¶6¶A61B 5/742¶(2013.01)
1020167035650¶7¶A61B 5/0015¶(2013.01)
1020167035650¶8¶A61B 5/02416¶(2013.01)
1020167035650¶9¶A61B 5/681¶(2013.01)
1020167035650¶10¶A61B 5/725¶(2013.01)
1020167035650¶11¶G16B 40/00¶(2019.02)
1020167035650¶12¶A61B 2562/0219¶(2013.01)
1020207002060¶1¶B25J 9/0087¶(2013.01)
1020207002060¶2¶B25J 9/0093¶(2013.01)
1020207002060¶3¶B25J 9/1005¶(2013.01)
1020207002060¶4¶B25J 11/005¶(2013.01)
1020210105377¶1¶A44C 5/0015¶(2013.01)
1020210105377¶2¶A61B 5/747¶(2013.01)
1020210105377¶3¶A61B 5/746¶(2013.01)
1020210105377¶4¶A61B 5/28¶(2013.01)
1020210105377¶5¶A61B 5/256¶(2013.01)
1020210105377¶6¶A61B 5/0205¶(2013.01)
1020210105377¶7¶A61B 5/6824¶(2013.01)
1020210105377¶8¶G08B 25/10¶(2013.01)
1020210105377¶9¶G08B 7/06¶(2013.01)
1020210105377¶10¶G08B 6/00¶(2013.01)
1020210105377¶11¶G08B 25/14¶(2013.01)
1020210105377¶12¶G06Q 50/10¶(2013.01)
2020190003225¶1¶A47G 29/10¶(2013.01)
2020190003225¶2¶A41D 20/00¶(2013.01)
1020110134350¶1¶B41M 5/50¶(2013.01)
1020150094124¶1¶H05B 47/105¶(2013.01)
1020150094124¶2¶H05B 47/11¶(2013.01)
1020150094124¶3¶H05B 47/16¶(2013.01)
1020150094124¶4¶F21S 10/023¶(2013.01)
1020150094124¶5¶F21V 23/0471¶(2013.01)
1020150094124¶6¶F21K 9/61¶(2013.01)
1020150094124¶7¶F21K 9/64¶(2013.01)
1020150094124¶8¶Y02B 20/72¶(2013.01)
1020140080374¶1¶A01M 29/12¶(2013.01)
1020140080374¶2¶A44C 5/0007¶(2013.01)
1020140080374¶3¶A01M 2200/012¶(2013.01)
1020180014052¶1¶A41D 13/0053¶(2013.01)
1020180014052¶2¶A41D 20/005¶(2013.01)
1020180014052¶3¶F25B 21/02¶(2013.01)
1020180014052¶4¶B32B 9/041¶(2013.01)
1020180014052¶5¶B32B 9/007¶(2013.01)
1020180014052¶6¶B32B 15/20¶(2013.01)
1020180014052¶7¶F25B 2321/023¶(2013.01)
1020160103537¶1¶A61B 5/022¶(2013.01)
1020237014986¶1¶B25J 9/04¶(2013.01)
1020237014986¶2¶B25J 9/104¶(2013.01)
1020237014986¶3¶B25J 9/0087¶(2013.01)
1020237014986¶4¶B25J 11/0095¶(2013.01)
1020237014986¶5¶F16H 19/005¶(2013.01)
1020237014986¶6¶H01L 21/67742¶(2013.01)
1020237014986¶7¶H01L 21/68707¶(2013.01)
1020177037778¶1¶B25J 9/042¶(2013.01)
1020177037778¶2¶B25J 18/04¶(2013.01)
1020177037778¶3¶H01L 21/67742¶(2013.01)
1020177037778¶4¶H01L 21/67766¶(2013.01)
1020167000034¶1¶H01L 21/681¶(2013.01)
1020167000034¶2¶H01L 21/67742¶(2013.01)
1020167000034¶3¶B25J 9/1682¶(2013.01)
1020167000034¶4¶G05B 2219/39109¶(2013.01)
